CVEGEO,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado,nomestado
12074,0.0,100.0,0.0,0.0,GUERRERO
12075,0.0,76.62602081390008,23.373979186099913,0.0,GUERRERO
12076,0.0,100.0,0.0,0.0,GUERRERO
12077,0.0,17.094299792804502,82.90570020719551,0.0,GUERRERO
12078,0.0,100.0,0.0,0.0,GUERRERO
12079,0.0,100.0,0.0,0.0,GUERRERO
12080,0.0,0.0,100.0,0.0,GUERRERO
12081,0.0,99.99999999999999,0.0,0.0,GUERRERO
13001,0.0,0.0,100.0,0.0,HIDALGO
13002,0.0,0.0,100.0,0.0,HIDALGO
13003,0.0,0.0,100.0,0.0,HIDALGO
13004,0.0,0.0,100.0,0.0,HIDALGO
13005,0.0,0.0,100.0,0.0,HIDALGO
13006,0.0,0.0,100.0,0.0,HIDALGO
13007,0.0,0.0,99.99999999999999,0.0,HIDALGO
13008,0.0,0.0,100.0,0.0,HIDALGO
13009,0.0,0.0,100.0,0.0,HIDALGO
13010,0.0,0.0,100.0,0.0,HIDALGO
13011,0.0,100.0,0.0,0.0,HIDALGO
13012,0.0,0.0,100.0,0.0,HIDALGO
13013,0.0,0.0,100.0,0.0,HIDALGO
13014,0.0,98.66346945053348,1.3365305494665072,0.0,HIDALGO
13015,0.0,68.20990334407092,31.790096655929087,0.0,HIDALGO
13016,0.0,0.0,100.0,0.0,HIDALGO
13017,0.0,0.0,100.0,0.0,HIDALGO
13018,0.0,87.38790924752426,12.612090752475735,0.0,HIDALGO
13019,0.0,0.0,100.0,0.0,HIDALGO
13020,0.0,0.0,100.0,0.0,HIDALGO
13021,0.0,0.0,100.0,0.0,HIDALGO
13022,0.0,0.0,100.0,0.0,HIDALGO
13023,0.0,0.0,100.0,0.0,HIDALGO
13024,0.0,0.0,100.0,0.0,HIDALGO
13025,7.161214078262487,92.83878592173751,0.0,0.0,HIDALGO
13026,0.0,100.0,0.0,0.0,HIDALGO
