municipio,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado
BELLA VISTA,0.0,67.98835887888902,0.0,32.01164112111099
MAZAPA DE MADERO,0.0,0.0,0.0,23.5688931696305
MOTOZINTLA,0.0,0.0,0.0,86.41246247847124
BEJUCAL DE OCAMPO,0.0,1.477201737465624,0.0,64.0872058076345
LA GRANDEZA,0.0,0.0,0.0,100.0
EL PORVENIR,0.0,0.0,0.0,100.0
SILTEPEC,0.0,0.0,0.0,100.0
CACAHOATÁN,0.0,0.0,0.0,0.0
FRONTERA HIDALGO,0.0,0.0,0.0,0.0
MAZATÁN,0.0,0.0,95.83664513330696,0.0
METAPA,0.0,0.0,0.0,0.0
TAPACHULA,0.0,0.0,4.205668734557462,7.638731307085511
TUXTLA CHICO,0.0,0.0,0.0,0.0
UNIÓN JUÁREZ,0.0,0.0,0.0,0.0
SUCHIATE,0.0,0.0,0.0,0.0
HUEHUETÁN,0.0,0.0,45.27547349451526,44.06481154695733
HUIXTLA,0.0,0.0,64.37257806251252,35.627421937487476
VILLA COMALTITLÁN,0.0,0.0,67.81814558913389,32.18185441086611
TUZANTÁN,0.0,0.0,2.725687988701276,97.27431201129872
ACACOYAGUA,0.0,3.207062174774602,0.0,96.7929378252254
ACAPETAHUA,0.0,0.044750245222371164,72.79896665219383,27.156283102583796
ESCUINTLA,0.0,0.0,1.0865262755684575,98.91347372443154
MAPASTEPEC,0.0,51.21205742486003,38.21260473751507,10.575337837624902
ARRIAGA,0.0,67.49599296975309,32.5040070302469,0.0
TONALÁ,0.0,51.77255683748129,48.22744316251871,0.0
PIJIJIAPAN,0.0,56.978694483484645,43.021305516515355,0.0
BENEMÉRITO DE LAS AMÉRICAS,100.0,0.0,0.0,0.0
MARQUÉS DE COMILLAS,100.0,0.0,0.0,0.0
CASAS GRANDES,0.0,3.1454316746235396,88.34865647320665,8.505911852169813
NUEVO CASAS GRANDES,0.0,5.530485559932873,21.064590385108296,73.40492405495883
JANOS,0.0,17.406233546274407,9.712094218844388,72.8816722348812
ASCENSIÓN,0.0,45.94929167150522,0.0,54.05070832849478
BUENAVENTURA,0.0,7.222443287013867,23.150373150873467,69.62718356211268
GALEANA,0.0,0.0,32.06369637657178,67.93630362342822
AHUMADA,0.0,30.36855125769986,0.0,69.63144874230014
JUÁREZ,0.0,100.0,0.0,0.0
GUADALUPE,0.0,72.42027494189364,0.0,27.57972505810635
PRAXEDIS G. GUERRERO,0.0,100.0,0.0,0.0
MADERA,0.0,35.84951744611103,64.15048255388898,0.0
GÓMEZ FARÍAS,0.0,0.0,100.0,0.0
IGNACIO ZARAGOZA,0.0,4.372493669258316,89.01620912895739,6.611297201784301
NAMIQUIPA,0.0,72.59420645657026,27.186827823923004,0.21896571950673557
CUAUHTÉMOC,0.0,10.182435844048722,89.81756415595129,0.0
RIVA PALACIO,0.0,39.62811009729819,60.3718899027018,0.0
CUSIHUIRIACHI,0.0,14.065561091671395,85.93443890832859,0.0
CARICHÍ,0.0,51.23039864595275,48.76960135404725,0.0
BACHÍNIVA,0.0,49.78052561600993,50.21947438399006,0.0
GUERRERO,0.0,8.353142091567944,91.64685790843207,0.0
MATACHÍ,0.0,0.0,100.0,0.0
TEMÓSACHIC,0.0,0.575907217076895,99.42409278292311,0.0
AQUILES SERDÁN,0.0,0.0,0.0,100.0
CHIHUAHUA,0.0,59.524639281688835,2.443311643976102,38.03204907433507
ALDAMA,0.0,39.09317463029562,0.0,60.906825369704386
SANTA ISABEL,0.0,13.524411430253537,86.47558856974646,0.0
GRAN MORELOS,0.0,36.42054534160982,63.57945465839019,0.0
SATEVÓ,0.0,66.85849602475177,32.70475699722378,0.4367469780244567
DR. BELISARIO DOMÍNGUEZ,0.0,47.94173219557655,52.05826780442346,0.0
NONOAVA,0.0,0.0,100.0,0.0
SAN FRANCISCO DE BORJA,0.0,0.0,100.0,0.0
COYAME DEL SOTOL,0.0,40.27199134260764,0.0,59.72800865739235
OJINAGA,0.0,66.26351591503509,0.0,33.73648408496492
MANUEL BENAVIDES,0.0,83.74906213099248,0.0,16.250937869007522
